Nome,Matrícula,CPF,Data Nascimento,Plano
DÉBORA FERREIRA CARDOSO,28/06/1999,15.***.***-32,00000116,Plano Anual Premium
EDUARDO MARTINS LOPES,24/12/2001,35.***.***-43,00000117,Plano Bronze
FERNANDA RIBEIRO SOUZA,14/08/1998,95.***.***-54,00000118,Plano Prata
GUILHERME ANDRADE SILVA,10/04/1997,75.***.***-65,00000119,Plano Ouro
HELENA PIRES LIMA,29/09/2000,15.***.***-76,00000120,Plano Diamante
IGOR ALMEIDA NASCIMENTO,19/01/1999,35.***.***-87,00000121,Plano Black
JULIANA MOURA FERNANDES,25/07/2002,95.***.***-98,00000122,Plano Student Fit
KAUÃ HENRIQUE DIAS,11/02/2001,74.***.***-09,00000123,Plano Corporativo
LARISSA CASTRO PRADO,07/06/1998,96.***.***-19,00000124,Plano Família
MARCELO NUNES REIS,26/03/1999,85.***.***-29,00000125,Plano Weekend
NATÁLIA DUARTE RIBEIRO,15/11/2000,14.***.***-39,00000126,Plano Manhã Saudável
OTÁVIA SANTOS LUZ,22/04/2003,25.***.***-49,00000127,Plano Noite Flex
PAULO ROBERTO ALMEIDA,12/01/1998,36.***.***-59,00000128,Plano Anual Premium
RAFAELA TORRES COSTA,18/09/2001,74.***.***-69,00000129,Plano Bronze
SAMUEL NASCIMENTO MELO,29/10/1997,85.***.***-79,00000130,Plano Prata
TATIANE MOREIRA CUNHA,04/02/2000,96.***.***-89,00000131,Plano Ouro
VINÍCIUS ROCHA OLIVEIRA,06/05/1999,14.***.***-99,00000132,Plano Diamante
ALICE PEREIRA SOUZA,02/03/2002,25.***.***-08,00000133,Plano Black
BERNARDO COSTA SILVA,14/07/2001,36.***.***-18,00000134,Plano Student Fit
CAMILA RIBEIRO SANTOS,08/10/2003,45.***.***-28,00000135,Plano Corporativo
DIEGO HENRIQUE LIMA,10/12/2000,78.***.***-38,00000136,Plano Família
EVELYN ROCHA MATOS,03/11/1998,12.***.***-48,00000137,Plano Weekend
FABIANA MELO DUARTE,29/08/2002,98.***.***-58,00000138,Plano Manhã Saudável
GUSTAVO AZEVEDO SILVA,11/09/2001,65.***.***-68,00000139,Plano Noite Flex
HELOÍSA MARTINS COSTA,01/10/1999,32.***.***-78,00000140,Plano Anual Premium
ISAC NUNES GOMES,19/05/2000,14.***.***-88,00000141,Plano Bronze
JOANA FIGUEIREDO RAMOS,06/04/1998,96.***.***-98,00000142,Plano Prata
LETÍCIA ALMEIDA CORREIA,03/06/2002,25.***.***-07,00000143,Plano Ouro
MATHEUS CARVALHO PIRES,18/08/2001,75.***.***-17,00000144,Plano Diamante
NICOLE TORRES LIMA,07/01/2003,15.***.***-27,00000145,Plano Black
PEDRO HENRIQUE RAMOS,23/03/1999,35.***.***-37,00000146,Plano Student Fit
RENATA BARBOSA PRADO,16/09/2000,95.***.***-47,00000147,Plano Corporativo
SÉRGIO ALMEIDA CASTRO,30/07/1998,75.***.***-57,00000148,Plano Família
TAINÁ GOMES RIBEIRO,19/02/2002,15.***.***-67,00000149,Plano Weekend
ULYSSES FARIA MENDES,25/12/1997,35.***.***-77,00000150,Plano Manhã Saudável
VALENTINA ROCHA SOUZA,09/11/2001,95.***.***-87,00000151,Plano Noite Flex
WILLIAM DUARTE CAMPOS,27/05/1999,74.***.***-97,00000152,Plano Anual Premium
YASMIN CARDOSO ARAUJO,22/06/2003,96.***.***-06,00000153,Plano Bronze
ZAQUEU MARTINS ROCHA,12/10/1998,85.***.***-16,00000154,Plano Prata
AMANDA RIBEIRO MELO,09/03/2000,14.***.***-26,00000155,Plano Ouro
BRENO COSTA DUARTE,05/09/2001,25.***.***-36,00000156,Plano Diamante
CLARA PIRES SOUZA,28/08/1999,36.***.***-46,00000157,Plano Black
DAVI ALMEIDA NOGUEIRA,15/05/2002,74.***.***-56,00000158,Plano Student Fit
ELISA MOURA RIBEIRO,02/07/2001,85.***.***-66,00000159,Plano Corporativo
FELIPE NUNES ANDRADE,19/04/2000,96.***.***-76,00000160,Plano Família
GIOVANA CASTRO LIMA,06/02/1998,14.***.***-86,00000161,Plano Weekend
HEITOR SILVA AZEVEDO,28/12/2003,25.***.***-96,00000162,Plano Manhã Saudável
INGRID DUARTE MOREIRA,14/09/2002,36.***.***-05,00000163,Plano Noite Flex
JOÃO LUCAS COSTA,25/10/1999,45.***.***-15,00000164,Plano Anual Premium
KARLA FERNANDES PRADO,10/06/2000,78.***.***-25,00000165,Plano Bronze
LEONARDO ALMEIDA GOMES,30/03/1998,12.***.***-35,00000166,Plano Prata
MARINA TORRES VIEIRA,19/01/2001,98.***.***-45,00000167,Plano Ouro
NATHALIA PIRES CARDOSO,26/07/2003,65.***.***-55,00000168,Plano Diamante
OTÁVIO FERREIRA ROCHA,03/02/2000,32.***.***-65,00000169,Plano Black
PAULA NOGUEIRA RAMOS,22/12/1998,14.***.***-75,00000170,Plano Student Fit
RICARDO SANTOS LIMA,11/05/1999,96.***.***-85,00000171,Plano Corporativo
SIMONE CORREIA PRADO,02/08/2001,25.***.***-95,00000172,Plano Família
TÚLIO CARVALHO ROCHA,09/10/2002,75.***.***-04,00000173,Plano Weekend
URSULA ANDRADE COSTA,05/01/2000,15.***.***-14,00000174,Plano Manhã Saudável
VITOR HENRIQUE SILVA,17/09/1998,35.***.***-24,00000175,Plano Noite Flex
WESLEY PIRES NOGUEIRA,25/04/2001,95.***.***-34,00000176,Plano Anual Premium
YARA FIGUEIREDO SANTOS,20/11/1999,75.***.***-44,00000177,Plano Bronze
ZILDA CASTRO ALMEIDA,15/02/2003,15.***.***-54,00000178,Plano Prata
ALAN TORRES CAMPOS,01/12/2000,35.***.***-64,00000179,Plano Ouro
BEATRIZ NUNES SILVA,03/09/2001,95.***.***-74,00000180,Plano Diamante
CARLOS EDUARDO LIMA,28/05/1998,74.***.***-84,00000181,Plano Black
DENISE RIBEIRO CUNHA,14/06/2002,96.***.***-94,00000182,Plano Student Fit
EDUARDA FARIAS GOMES,21/08/2000,85.***.***-03,00000183,Plano Corporativo
